sira,score,tipadi,daire,esasno,esasyil,kararno,karartarihi,kaynak_arama,sinyaller,konu,metin_ozet
45,37.6,Yargıtay,10,3823,2023,9886,2024-10-10,gebe+illiyet,gebe×2 | travma×20 | illiyet×8 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Bursa Bölge Adliye Mahkemesi 9. Hukuk Dairesi SAYISI: 2022/2927 E., 2022/2492 K. KARAR: Kısmen Kabul İLK DERECE MAHKEMESİ: Gönen(Balıkesir) 1. Asliye Hukuk (İş) Mahkemesi SAYISI: 2020/357 E., 2022/97 K. Taraflar arasındaki iş kazasından kaynaklanan maddi ve manevi tazminat davasından dola"
46,37.6,Danıştay,10,4430,2020,5847,2023-10-24,gebe+travma,gebe×8 | travma×12 | illiyet×8 | TCK 87/88 | cenin/düşük,DANIŞTAY KARARI,"T.C. D A N I Ş T A Y ONUNCU DAİRE Esas No : 2020/4430 KararNo : 2023/5847 DAVACI: ... Tıp Merkezi Ltd. Şti. VEKİLLERİ: Av. … Av. … DAVALI: … Bakanlığı / … VEKİLİ: Hukuk Müşaviri Av. … DAVANIN KONUSU: Davacı tarafından, 15/02/2008 tarih ve 26788 sayılı Resmî Gazete'de yayımlanan Ayakta Teşhis ve Teda"
47,37.6,Yargıtay,10,1414,2023,7747,2023-07-11,gebe+illiyet,gebe×2 | travma×29 | illiyet×8 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi 10. Hukuk Dairesi SAYISI: 2022/2652 E., 2022/2891 K. KARAR: Esastan Red İLK DERECE MAHKEMESİ: ... 1. Asliye Hukuk (İş) Mahkemesi SAYISI: 2020/314 E., 2022/169 K. Taraflar arasındaki iş kazasından maddi ve manevi tazminat istemi davasından dolayı yapılan yargılam"
48,37.5,Yargıtay,CG,283,2020,507,2021-10-27,gebe+illiyet,gebe×3 | travma×42 | illiyet×22 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"Kararı veren Yargıtay Dairesi: Ceza Genel Kurulu Mahkemesi:Ceza Dairesi Sayısı: 64-9 Temyiz Edenler: Sanık ve müdafisi Silahlı terör örgütü yöneticisi olma suçundan sanık hakkında ilk derece mahkemesi sıfatıyla yargılama yapan Yargıtay 9. Ceza Dairesince 05.02.2020 tarih ve 64-9 sayı ile; sanığın TC"
49,37.4,Yargıtay,CG,565,2018,524,2021-11-04,gebe+travma,gebe×13 | travma×144 | illiyet×2 | TCK 87/88 | cenin/düşük | künt/batın,YARGITAY KARARI,"Yargıtay Dairesi: 8. Ceza Dairesi İşkence suçundan sanıklar ..., ... ve ...'nın beraatlerine ilişkin ... 5. Ağır Ceza Mahkemesince verilen 20.12.2006 tarihli ve 433-465 sayılı hükümlerin, katılan ve vekili tarafından temyiz edilmesi üzerine dosyayı inceleyen Yargıtay 8. Ceza Dairesince 08.12.2011 ta"
50,37.4,Yargıtay,CG,491,2016,455,2019-05-28,gebe+travma,gebe×13 | travma×25 | illiyet×7 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"Kararı Veren Yargıtay Dairesi: (Kapatılan) 23. Ceza Dairesi Mahkemesi:Ağır Ceza Sayısı: 80-128 Resmî belgede sahtecilik suçundan sanık ...'ün, TCK'nın 210/2. maddesi yollamasıyla aynı Kanun'un 204/1, 43/1, 62 ve 53. maddeleri uyarınca 2 yıl 2 ay 7 gün hapis cezası ile cezalandırılmasına ve hak yoksu"
51,37,Anayasa,GK,30,2020,12,2023-01-25,gebe+illiyet,gebe×2 | travma×11 | illiyet×12 | TCK 87/88 | cenin/düşük,"ANAYASA MAHKEMESİNİN E: 2020/30 (7196 SAYILI KANUN İLE İLGİLİ), K: 2023/12 SAYILI KARARI","(AİHS m. 8, 7 NOLU PROTOKOL) (2709 S. K. m. 2, 5, 7, 10, 13, 16, 17, 19, 23, 36, 40, 48, 56, 60, 65, 70, 73, 90, 125, 128, 129, 153, 161) (7196 S. K. m. 10, 21, 30, 52, 53, 62, 72, 74, 75, 76, 81, 87) (3201 Geç. m. 29) (2692 S. K. m. 24, Ek m. 4) (2803 S. K. Ek m. 8) (4721 S. K. m. 409, 436) (5510 S"
52,36.8,Yargıtay,BG,9,2017,10,2018-10-19,gebe+illiyet,gebe×33 | travma×25 | illiyet×4 | TCK 87/88 | cenin/düşük | trafik/iş kaz,İÇTİHATLARIN BİRLEŞTİRİLMESİ İSTEMİ - İŞÇİNİN BEKLEME SÜRESİNİ AŞAN İŞE DEVAMSIZLIĞI NEDENİYLE İŞ SÖZLEŞMESİNİN HAKLI NEDENLE DERHAL FESHİ - ALMIŞ OLDUĞU SAĞLIK RAPORLARI NEDENİYLE DERHAL FESİHLERDE İ,"(ILO 158 Nolu Sözleşme - Hizmet İlişkisine İşveren Tarafından Son Verilmesi Hakkında Sözleşme m. 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 19) (2709 S. K. m. 48, 49) (4857 S. K. m. 8, 17, 18, 19, 24, 25, 27) (6098 S. K. m. 93, 435, 440) (4721 S. K. m. 2) (7036 S. K. m. 20, 21) (9. HD. 24.11.2015 T. 2"
53,36.8,Yargıtay,CG,312,2016,700,2021-12-29,gebe+travma,gebe×39 | travma×106 | illiyet×4 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"Kararı Veren Yargıtay Dairesi: (Kapatılan) 14. Ceza Dairesi Mahkemesi:Ağır Ceza Sayısı : 28-45 Çocuğun nitelikli cinsel istismarı suçundan; sanık ...’nin TCK'nın 103/1-a maddesi delaletiyle 103/2, 43/1, 62 ve 53. maddeleri uyarınca 10 yıl 5 ay hapis, sanık ...’ın TCK'nın 103/1-a maddesi delaletiyle "
54,36.5,Yargıtay,CG,495,2017,317,2022-05-10,gebe+travma,gebe×1 | travma×144 | illiyet×15 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"Yargıtay Dairesi: 1. Ceza Dairesi Sanık ...'ın kasten öldürme suçuna yardım etmeden TCK’nın 81/1, 39/2-c, 29 ve 62. maddeleri uyarınca 3 yıl 1 ay; sanık ...'in silahla tehdit suçundan TCK’nın 106/2-a, 43, 29 ve 62. maddeleri uyarınca 1 yıl 6 ay 22 gün hapis cezası ile cezalandırılmalarına, her iki s"
55,36.5,Yargıtay,CG,406,2023,46,2024-02-13,gebe+illiyet,gebe×1 | travma×15 | illiyet×19 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"Kararı veren Yargıtay Dairesi: Ceza Genel Kurulu Mahkemesi:Ceza Dairesi Sayısı: 31-13 Silahlı terör örgütüne üye olma suçundan sanık hakkında İlk Derece Mahkemesi sıfatıyla yargılama yapan Yargıtay 9. Ceza Dairesince 08.07.2019 tarih ve 27-121 sayı ile; sanığın 5237 sayılı Türk Ceza Kanunu'nun 314/2"
56,36.5,Yargıtay,CG,280,2019,339,2021-07-06,gebe+illiyet,gebe×1 | travma×15 | illiyet×20 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"Yargıtay Dairesi: Ceza Genel Kurulu Silahlı terör örgütüne üye olma suçundan sanık ... hakkında ilk derece mahkemesi sıfatıyla yargılama yapan Yargıtay 9. Ceza Dairesince 13.03.2019 tarih ve 118 - 31 sayı ile; sanığın TCK'nın 314/2, 3713 sayılı Kanun'un 5/1, TCK'nın 62, 53, 58/9 ve 63. maddeleri uya"
57,36.5,Yargıtay,CG,491,2019,350,2021-07-08,gebe+illiyet,gebe×1 | travma×16 | illiyet×19 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"Kararı veren Yargıtay Dairesi: Ceza Genel Kurulu Mahkemesi:Ceza Dairesi Sayısı: 29-78 Silahlı terör örgütüne üye olma suçundan sanık ... hakkında ilk derece mahkemesi sıfatıyla yargılama yapan Yargıtay 9. Ceza Dairesince 20.05.2019 tarih ve 29-78 sayı ile; sanığın TCK'nın 314/2, 3713 sayılı Kanun'un"
58,36.4,Yargıtay,CG,1420,2016,562,2019-09-24,gebe+illiyet,gebe×2 | travma×20 | illiyet×7 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"Kararı veren Yargıtay Dairesi: 12. Ceza Dairesi Mahkemesi:Asliye Ceza (Kapatılan Kemer Sulh Ceza Mahkemesinin 80-386 sayılı kararı) Sayısı: 834-417 Taksirle bir kişinin yaralanmasına neden olma suçundan sanık ...'in TCK'nın 89/1, 89/3-b, 62 ve 52. maddeleri uyarınca 9.000 TL adli para cezası ile cez"
59,36.2,A.İ.H.M.,A.İ.H.M.,40448,2006,,2016-08-30,gebe+illiyet,gebe×46 | travma×6 | illiyet×8 | TCK 87/88 | cenin/düşük,AYDOĞDU - TÜRKİYE DAVASI,"(AİHS m. 2, 34, 41, 44, 46) (2709 S. K. m. 129) (4483 S. K. m. 6) (2577 S. K. m. 13) (2659 S. K. m. 6, 7, 8, 16, 23) (2577 S. K. m. 31) (1086 S. K. m. 275) (657 S. K. m. 13) (IŞILDAK - TÜRKİYE DAVASI) (SEVİM GÜNGÖR - TÜRKİYE DAVASI) (SÖDERMAN - İSVEÇ DAVASI) (GÖZÜM - TÜRKİYE DAVASI) (ASİYE GENÇ - TÜ"
60,36.1,A.İ.H.M.,A.İ.H.M.,40262,1998,,2005-10-06,gebe+travma,gebe×5 | travma×31 | illiyet×3 | TCK 87/88 | cenin/düşük | künt/batın,H.Y. VE HÜ.Y. - TÜRKİYE DAVASI,"(Başvuru no:40262/98) KARARIN ÖZET ÇEVİRİSİ STRAZBURG 6 Ekim 2005 İşbu karar Sözleşme'nin 44 § 2. maddesinde belirtilen koşullar çerçevesinde kesinleşecek olup şekli bazı düzeltmelere tabi tutulabilir. Türkiye Cumhuriyeti Devleti aleyhine açılan 40262/98 başvuru no'lu davanın nedeni, Türk vatandaşı "
61,36.1,Danıştay,10,4429,2020,5846,2023-10-24,gebe+travma,gebe×5 | travma×12 | illiyet×8 | TCK 87/88 | cenin/düşük,DANIŞTAY KARARI,"T.C. D A N I Ş T A Y ONUNCU DAİRE Esas No : 2020/4429 KararNo : 2023/5846 DAVACI: … Tıp Sağlık Hizmetleri Ticaret A.Ş. VEKİLLERİ: Av. … Av. … DAVALI: … Bakanlığı / ANKARA VEKİLİ: Hukuk Müşaviri Av. … DAVANIN KONUSU: Davacı tarafından, 15/02/2008 tarih ve 26788 sayılı Resmî Gazete'de yayımlanan Ayakt"
62,35.1,Anayasa,GK,111-2,2006,112,2006-12-15,gebe+travma,gebe×9 | travma×51 | illiyet×3 | TCK 87/88 | cenin/düşük | trafik/iş kaz,"ANAYASA MAHKEMESİNİN E: 2006/111 (5510 SAYILI KANUN İLE İLGİLİ), K: 2006/112 SAYILI KARARI","*** NOT: ANAYASA MAHKEMESİNİN E: 2006/111 (5510 SAYILI KANUN İLE İLGİLİ), K: 2006/112 SAYILI KARARI UZUNLUĞU NEDENİYLE 1. BÖLÜMÜ 2006/111-1, 2. BÖLÜMÜ 2006/111-2, 3. BÖLÜMÜ 2006/ 111-3 ESAS NO'SU İLE OLMAK ÜZERE ÜÇ PARÇA HALİNDE PROGRAMA GİRİLMİŞTİR. KARARIN DİĞER PARÇALARINI GÖRMEK İÇİN LÜTFEN İLGİ"
63,35.1,Yargıtay,1,2632,2023,4474,2023-06-22,gebe+travma,gebe×3 | travma×8 | illiyet×9 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ:Ceza Dairesi SAYISI: 2022/2213 E., 2022/2617 K. SUÇ: Neticesi sebebiyle ağırlaşmış yaralama HÜKÜM: İstinaf başvurusunun esastan reddi kararı TEBLİĞNAME GÖRÜŞÜ: Temyiz başvurusunun esastan reddi ile hükmün onanması İlk Derece Mahkemesince verilen hükme yönelik istinaf incelemesi üzerine Böl"
64,35,Anayasa,1,33554,2018,,2021-06-15,gebe+travma,gebe×14 | travma×13 | illiyet×5 | TCK 87/88 | cenin/düşük,ANAYASA MAHKEMESİNİN 15/6/2021 TARİHLİ VE 2018/33554 SAYILI KARARI (BİREYSEL BAŞVURU),"(AİHS m. 2) (2709 S. K. m. 5, 17) (2828 S. K. m. 1, 2, 3, 4, 9) (5237 S. K. m. 59) (2577 S. K. m. 16) (6216 S. K. m. 50) (Anayasa Mahkemesi İçtüzüğü m. 79) (SALMAN - TÜRKİYE DAVASI) (YAŞA - TÜRKİYE DAVASI) (GAFGEN - ALMANYA DAVASI) (CALVELLİ VE CİGLİO - İTALYA DAVASI) (MERYEM DOĞAN VE ABDULLAH DOĞAN"
65,34.2,Anayasa,2,1514,2018,,2023-11-22,gebe+illiyet,gebe×72 | travma×2 | illiyet×11 | TCK 87/88 | obstetrik komp.,ANAYASA MAHKEMESİNİN 22/11/2023 TARİHLİ VE 2018/1514 SAYILI KARARI (BİREYSEL BAŞVURU) ,"(2709 S. K. m. 17, 56) (ANY. MAH. 18.09.2013 T. 2012/969 E.) (ANY. MAH. 07.11.2019 T. 2016/12506 E.) &nbsp;(ANY. MAH. 21.01.2021 T. 2020/32949 E.) &nbsp; &nbsp; *** İncelemekte olduğunuz karar Resmi Gazete&rsquo;de yayımlanmamış olup kararlar bilgibankasi.anayasa.gov.tr adresinden alınmıştır. &nbsp;"
66,34.1,Yargıtay,CG,1158,2015,146,2016-03-29,gebe+travma,gebe×1 | travma×103 | illiyet×3 | TCK 87/88 | cenin/düşük | künt/batın,YARGITAY KARARI,"Yargıtay Dairesi: 1. Ceza Dairesi Mahkemesi:Ağır Ceza Eşini kasten öldürme suçundan sanık ...'in 5237 sayılı TCK’nun 82/1-d, 62, 53 ve 63. maddeleri uyarınca müebbet hapis cezası ile cezalandırılmasına, hak yoksunluğuna ve mahsuba ilişkin, Siirt Ağır Ceza Mahkem...ce verilen 13.03.2013 gün ve 161-63"
67,34,Yargıtay,CG,12-10,2013,80,2014-02-18,gebe+travma,gebe×23 | travma×49 | illiyet×23 | TCK 87/88 | trafik/iş kaz,TAKSİRLE ÖLÜME NEDEN OLMA - ASLİ KUSURLU OLDUĞU TESPİT EDİLEN SANIĞIN YAYA OLMASI VE HERHANGİ BİR TRAFİK ARACINI KULLANMAMASI - TAKSİRLE ÖLÜME NEDEN OLMA SUÇUNDAN CEZA SORUMLULUĞU BULUNMADIĞINDAN BAHİ,"(5237 S. K. m. 21, 22, 44, 50, 52, 53, 62, 85, 89) (2918 S. K. m. 3, 46, 67, 84) Dava ve Karar: Taksirle bir kişinin ölümüne neden olmak suçundan sanık M... 'nin 5237 sayılı TCK'nun 85/1, 62, 50, 52/4 ve 53/6. maddeleri uyarınca 18.200 Lira adli para cezası ile cezalandırılmasına, taksitlendirmeye v"
68,34,Yargıtay,CG,13,2014,424,2016-11-15,gebe+illiyet,gebe×23 | travma×43 | illiyet×11 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"Yargıtay Dairesi: 12. Ceza Dairesi Mahkemesi:Sulh Ceza Günü: 08.06.2010 Sayısı: 1134-881 Taksirle bir kişinin yaralanmasına neden olma suçundan sanık ...'un TCK'nun 89/1, 89/2-b-e, 62 ve 51/1-3. maddeleri uyarınca 5 ay hapis cezası ile cezalandırılmasına ve ertelemeye ilişkin, Alanya 1. Sulh Ceza Ma"
69,34,Yargıtay,CG,130,2021,780,2022-12-08,gebe+travma,gebe×27 | travma×132 | illiyet×39 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi:Ağır Ceza Sanıklar ..., ... ve ...'in nitelikli kasten öldürme suçundan TCK'nın 82/1-h, 62, 53, 63 maddeleri uyarınca müebbet hapis cezasıyla cezalandırılmalarına, hak yoksunluklarına ve mahsuba ilişkin ... 7. Ağır Ceza Mahkemesince 16.04.2014 tarih ve 71-91 sayı ile kurulan ve resen temyi"
70,34,Yargıtay,CG,12-276,2015,263,2016-05-24,gebe+illiyet,gebe×14 | travma×39 | illiyet×26 | TCK 87/88 | trafik/iş kaz,TAKSİRLE YARALAMAYA NEDEN OLMAK SUÇU - KIRMIZI IŞIKTA GEÇTİĞİ YA DA KAVŞAK ALANINA SÜRATLİ DİKKATSİZ VE TEDBİRSİZ BİÇİMDE GİRDİĞİ YA DA MAĞDURU GÖRMESİNE RAĞMEN HIZINI AZALTMADIĞI HUSUSUNDA HERHANGİ B,"(5237 S. K. m. 22, 40, 89) (2918 S. K. m. 52) (5271 S. K. m. 63) (2659 S. K. m. 23) Dava: Taksirle bir kişinin yaralanmasına neden olmak suçundan sanığın beraatına ilişkin, ... Sulh Ceza Mahkemesince verilen ... gün ve ... sayılı hükmün katılan vekili tarafından temyiz edilmesi üzerine dosyayı incel"
71,33.9,Yargıtay,3,16822,2023,20605,2024-12-26,gebe+illiyet,gebe×3 | travma×33 | illiyet×7 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ :Ağır Ceza Mahkemesi SAYISI : 2022/141 - 2022/308 SUÇ: Anayasayı ihlal, Cumhurbaşkanına Suikast, TBMM'yi ortadan kaldırmaya veya görevini yapmasını engellemeye teşebbüs etme, Türkiye Cumhuriyeti Hükümetini ortadan kaldırmaya veya görevini yapmayı engellemeye teşebbüs etme, Silahlı terör ör"
72,33.9,Anayasa,2,5097,2014,,2016-09-28,gebe+illiyet,gebe×3 | travma×25 | illiyet×7 | TCK 87/88 | cenin/düşük,ANAYASA MAHKEMESİNİN 28/9/2016 TARİHLİ VE 2014/5097 SAYILI KARARI (BİREYSEL BAŞVURU) ,"(AİHS m. 3) (İşkence Ve Diğer Zalimane Gayriinsani Veya Küçültücü Muamele Veya Cezaya Karşı Birleşmiş Milletler Sözleşmesi m. 1) (2709 S. K. m. 15, 17, 19, 36, 40) (2559 S. K. m. 16) (5237 S. K. m. 24, 27, 86, 87, 89) (6216 S. K. m. 50) (ANY. MAH. 18.09.2013 T. 2012/969 E.) (ANY. MAH. 17.09.2013 T. "
73,33.8,Yargıtay,CG,986,2015,102,2018-03-20,gebe+travma,gebe×45 | travma×8 | illiyet×5 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"Kararı veren Yargıtay Dairesi: 1. Ceza Dairesi Mahkemesi:Ağır Ceza Günü: 14.05.2013 Sayısı: 37-91 Nitelikli kasten öldürme suçuna teşebbüsten sanık ...'nin TCK'nun 82/1-d, 35/1-2, 62/1, 53 ve 63. maddeleri uyarınca 12 yıl 6 ay hapis cezası ile cezalandırılmasına, hak yoksunluğuna ve mahsuba ilişkin "
74,33.8,Yargıtay,12,1236,2020,6759,2020-12-07,gebe+illiyet,gebe×30 | travma×20 | illiyet×4 | cenin/düşük | obstetrik komp.,YARGITAY KARARI,"Mahkemesi:Asliye Ceza Mahkemesi Suç: Görevi kötüye kullanma, Taksirle yaralama Hüküm: Her iki suçtan tüm sanıkların CMK’nın 223/2-e. maddesi uyarınca ayrı ayrı beraatlerine Taksirle yaralama ve görevi kötüye kullanma suçlarından sanıkların beraatlerine ilişkin hüküm, katılan vekili tarafından temyiz"
75,33.5,Yargıtay,CG,584,2022,309,2023-05-24,gebe+travma,gebe×1 | travma×89 | TCK 87/88 | cenin/düşük | künt/batın | trafik/iş kaz,YARGITAY KARARI,"YARGITAY DAİRESİ : 1. Ceza Dairesi MAHKEMESİ :Ağır Ceza SAYISI: 346-77 I. HUKUKÎ SÜREÇ Nitelikli kasten öldürme suçundan sanıklar ... ve ...'in 26.03.2020 tarihli ve 197-94 sayılı kararı ile; 5237 sayılı Türk Ceza Kanunu'nun 37. maddesinin 1. fıkrası delaletiyle 82. maddesinin 1. fıkrasının (a) bend"
76,33.2,Danıştay,10,4458,2024,6504,2024-12-17,gebe+illiyet,gebe×11 | travma×1 | illiyet×8 | cenin/düşük | obstetrik komp.,TAZMİNAT İSTEMİ - TAKDİR EDİLEN MANEVİ TAZMİNAT MİKTARININ UĞRANILAN ZARARA GÖRE ORANTISIZ VE DÜŞÜK KALDIĞI DAVACININ UĞRADIĞI - ELLİ BİN TL MANEVİ ZARARIN TAMAMININ GİDERİLMESİ GEREKİRKEN YİRMİ BEŞ B,"(2709 S. K. m. 125) (2577 S. K. m. 2, 54, Geç. m. 8) &nbsp; İSTEMLERİN KONUSU: ... İdare Mahkemesinin ... tarih ve E:..., K:... sayılı kararının onanmasına dair Danıştay Onuncu Dairesinin 27/12/2023 tarih ve E:2022/6751, K:2023/9029 sayılı kararının; taraflarca aleyhlerine olan kısımlarının 2577 say"
77,33,Anayasa,2,23753,2018,,2022-03-02,gebe+illiyet,gebe×50 | travma×12 | illiyet×31 | cenin/düşük,ANAYASA MAHKEMESİNİN 2/3/2022 TARİHLİ VE 2018/23753 SAYILI KARARI (BİREYSEL BAŞVURU),"(2709 S. K. m. 5, 17) (5237 S. K. m. 50, 62, 257) (6216 S. K. m. 47, 48, 50) (Anayasa Mahkemesi İçtüzüğü m. 64, 80) (ANY. MAH. 30.10.2018 T. 2015/3640 E.) (ANY. MAH. 18.09.2013 T. 2012/969 E.) (ANY. MAH. 17.09.2013 T. 2012/752 E.) (ANY. MAH. 12.02.2013 T. 2012/1075 E.) (ANY. MAH. 23.01.2014 T. 2013/"
78,33,Yargıtay,CG,80,2022,787,2022-12-08,gebe+travma,gebe×8 | travma×35 | illiyet×12 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"Kararı Veren Yargıtay Dairesi: 9. Ceza Dairesi Mahkemesi:Ağır Ceza Sayısı: 139-57 Teşebbüs aşamasında kalan nitelikli cinsel saldırı suçundan sanık ...’ın TCK'nın 102/2, 102/3-a, 35/2, 62, 53 ve 63. maddeleri uyarınca 9 yıl 4 ay 15 gün hapis cezasıyla cezalandırılmasına, hak yoksunluğuna ve mahsuba "
79,32.6,Yargıtay,CG,1-395,2013,28,2014-02-04,gebe+travma,gebe×4 | travma×116 | illiyet×3 | TCK 87/88 | cenin/düşük | trafik/iş kaz,KASTEN YARALAMA SONUCU ÖLÜME NEDEN OLMA SUÇU - MAHKUMİYET HÜKMÜNÜN YALNIZCA ÖLENİN KARDEŞİ OLAN TANIĞIN SORUŞTURMA AŞAMASINDAKİ BEYANINA DEĞİL DOSYADA BULUNAN DİĞER DELİLLERE DE DAYANDIRILDIĞI - MAHKU,"(5237 S. K. m. 86, 87) Dava ve Karar: Kasten yaralama sonucu ölüme neden olma suçundan sanığın, TCK'nun 86/1, 86/3, 87/1-4, 31/3, 62 ve 63. maddeleri uyarınca 6 yıl 8 ay hapis cezası ile cezalandırılmasına ve mahsuba ilişkin, Konya 2. Ağır Ceza Mahkemesince verilen 31.12.2010 gün ve 184-473 sayılı h"
80,32.2,A.İ.H.M.,A.İ.H.M.,30696,2009,,2011-01-21,gebe+travma,gebe×2 | travma×52 | illiyet×6 | TCK 87/88 | cenin/düşük,M.S.S. - BELÇİKA VE YUNANİSTAN DAVASI,"(AİHS m. 2, 3, 13, 26, 29, 30, 34, 35, 36, 41, 45, 46) (Mültecilerin Hukuki Statüsüne İlişkin 1951 Cenevre Sözleşmesi m. 33) (LABITA - İTALYA DAVASI) (PRETTY - BİRLEŞİK KRALLIK DAVASI) (TYRER - BİRLEŞİK KRALLIK DAVASI) (ÇAKICI - TÜRKİYE DAVASI) (JABARİ - TÜRKİYE DAVASI) (BATI VE DİĞERLERİ - TÜRKİYE "
81,31.6,Yargıtay,3,2128,2006,9059,2006-11-29,gebe+illiyet,gebe×8 | travma×8 | illiyet×4 | TCK 87/88 | cenin/düşük,YARALAMA SUÇU - ÇOCUĞUN DÜŞMESİ SONUCUNU DOĞURAN EYLEMDE OLASI KASITLA HAREKET EDİLDİĞİ - NETİCE BAKIMINDAN ÇOCUK DÜŞÜRME SONUCUNDAN SORUMLU TUTULMASI GEREKTİĞİ - TAKSİRLE YARALAMA SUÇUNDAN CEZA VERİL,"(5237 S. K. m. 21, 23, 89) Dava ve Karar: Mahalli mahkemece verilen hüküm temyiz edilmekle evrak okunarak; TÜRK MİLLETİ ADINA GEREĞİ GÖRÜŞÜLDÜ: Yerinde görülmeyen sair itirazların reddine; Ancak; Olay tarihinde sanıkla müdahilin çeşmeden faydalanma hususunda tartıştıkları tartışmanın kavgaya dönüştü"
82,31.5,Yargıtay,10,10148,2024,8944,2024-09-24,gebe+illiyet,gebe×1 | travma×16 | illiyet×11 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: İzmir Bölge Adliye Mahkemesi 3. Hukuk Dairesi SAYISI: 2020/1737 E., 2022/1020 K. KARAR: Esastan Red İLK DERECE MAHKEMESİ: Soma 1. İş Mahkemesi SAYISI: 2014/660 E., 2020/155 K. Kararının davalı ... Genel Müdürlüğü tarafından temyiz edilmesi üzerine Dairemizin 26.12.2023 tarih ve 2022/8605 "
83,31.4,Yargıtay,3,10199,2011,37929,2012-11-13,gebe+illiyet,gebe×13 | travma×2 | illiyet×6 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ :Asliye Ceza Mahkemesi HÜKÜM: Sanığın mahkumiyetine dair Mahalli mahkemece verilen hüküm temyiz edilmekle evrak okunarak; Gereği görüşülüp düşünüldü; Tanık...nin soruşturma ve kovuşturma aşamasındaki beyanları arasındaki çelişkinin giderilmemesi sonuca etkili görülmediğinden tebliğnamedeki"
84,31.4,Danıştay,10,1207,2022,2850,2023-05-29,gebe+illiyet,gebe×26 | travma×6 | illiyet×4 | cenin/düşük | obstetrik komp.,DANIŞTAY KARARI,"T.C. D A N I Ş T A Y ONUNCU DAİRE Esas No : 2022/1207 KararNo : 2023/2850 TEMYİZ EDEN (DAVACILAR) : Kendi adlarına asaleten …, … ve …'a velayeten … ve … VEKİLİ : Av. … KARŞI TARAF (DAVALI) : … Bakanlığı VEKİLİ : Av. … MÜDAHİL (DAVALI YANINDA) : … VEKİLLERİ : Av. … Av. … İSTEMİN_KONUSU : … Bölge İdar"
85,31.4,Anayasa,GK,65,2011,49,2013-03-28,gebe+travma,gebe×10 | travma×23 | illiyet×2 | TCK 87/88 | cenin/düşük,"ANAYASA MAHKEMESİNİN E: 2011/65 (6225 VE 1219 SAYILI KANUNLAR İLE İLGİLİ), K: 2013/49 SAYILI KARARI","(2709 S. K. m. 5, 12, 15, 17, 56, 90, 135, 153) (3359 S.K. EK m. 9, EK m. 10) (1219 S. K. Geçici m. 8, EK m. 13, EK m. 14) (Tıpta Ve Diş Hekimliğinde Uzmanlık Eğitimi Yönetmeliği m. 15) (ANY.MAH.12.12.1996 T. 1996/64 E. 1996/47 K.) RGT: 25.01.2014 RG NO: 28893 İPTAL DAVASINI AÇAN: Anamuhalefet Parti"
86,31.3,A.İ.H.M.,2,43044,2005,,2011-07-05,gebe+travma,gebe×5 | travma×12 | illiyet×4 | TCK 87/88 | cenin/düşük,SAÇILIK VE DİĞERLERİ - TÜRKİYE DAVASI,"(AİHS m. 1, 2, 3, 34, 35, 41, 44) (ATALAY - TÜRKİYE DAVASI) (KARAYİĞİT - TÜRKİYE DAVASI) (Başvuru no. 43044/05 ve 45001/05) KARARIN ÖZET ÇEVİRİSİ (Nihai esaslar ile kısmi adil tazmin) STRAZBURG 5 Temmuz 2011 İşbu karar AİHS'nin 44/2 maddesinde belirtilen koşullar çerçevesinde kesinleşecektir. Şekli "
87,31.1,Danıştay,6,1326,2022,7448,2022-06-23,gebe+illiyet,gebe×1 | travma×1 | illiyet×10 | TCK 87/88 | cenin/düşük,DANIŞTAY KARARI,T.C. D A N I Ş T A Y ALTINCI DAİRE Esas No : 2022/1326 Karar No : 2022/7448 TEMYİZ EDEN TARAFLAR: I- (DAVACI) ... VEKİLİ: Av. ... II- (DAVALILAR) 1- ... Bakanlığı VEKİLİ: Av. ... 2- ... Büyükşehir Belediye Başkanlığı VEKİLİ: Av. ... 3- ... Belediye Başkanlığı VEKİLİ: Av. ... KARŞI TARAF: 1- ... Baka
