"No","Tip","Mahkeme/Daire","Esas","Karar","Tarih","ID (Sinerji)","URL","Anahtar Kelimeler","Snippet"
"161","Yargıtay","Ceza Dairesi","2022/11115","2024/1090","2024-02-20","ZGtHNmN1N0RKZk9oOXJyTjRjMCt1aEdROEhyUTl0S1Y","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/ZGtHNmN1N0RKZk9oOXJyTjRjMCt1aEdROEhyUTl0S1Y","hamile, hamilelik, hamileyken, travmaya, travma","Sanık ile mağdurun gayrıresmi birlikte yaşadıkları, sanığın hamile olan mağduru beyzbol sopası ile gözlerinden ... yargılamanın 01.03.2018 tarihli celsesinde sanığın aynı zamanda gözünü kör ettiğini ve bunu da kendisi 6 aylık hamile ... ameliyat edildiği, mevcut davaya konu darp iddiasında mağdurun suç tarihini 15.06.2015 olarak (6 aylık hamilelik ... zamanı) olarak anlattığı, bu tarihin hamilelik süreci ile de uyumlu olduğu dolayısıyla mağdurun gözünde ... ederek sanıkla yaşamaya başladığını, s"
"162","Yargıtay","Ceza Genel Kurulu","2023/523","2024/61","2024-02-14","eHZxdHBBWEV4TUhtMXZOdzBGbTYzODJtRGhDZ3FVNGQ","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/eHZxdHBBWEV4TUhtMXZOdzBGbTYzODJtRGhDZ3FVNGQ","travmatik, hamile","aralıklarında olmadığı, maktulün vücudunda bir adet kesici delici alet yarası, baş bölgesinde çok sayıda künt travmatik ... kenarının künt olduğu, baş bölgesinde tanımlanan lezyonlar ve sağ kaş üzerinde tanımlanan lezyonun künt travmatik ... eylemi ile uyumlu olduğu, maktulün ölümünün kesici delici aletle perikard ve kalp yaralanması, künt travmatik ... almışsın, burada ne işin var, seninle hesabımız bitmedi.\"" şeklinde konuştuğunu, bu sırada üç aylık hamile ... bindirdiği sanıkla birlikte orada"
"163","Bölge Adliye Mahkemesi","11. Hukuk Dairesi","2021/991","2024/262","2024-02-09","b1A0WW9EVmM2bFZqRllYWEk4WURaZz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/b1A0WW9EVmM2bFZqRllYWEk4WURaZz09","boğaz, travma","olduğunun hesaplandığı, işitme cihazının kaç yılda bir yenilenmesi gerektiği hususunun Kulak Burun ve Boğaz ... hastanesine başvurduğu, özgeçmişinde olay öncesi işitme kaybı olduğunu gösterecek bir özellik belirtilmediği, travma ... ve mevcut işitme kaybı arasındaki illiyet bağını kesecek başka bir travma öyküsünün bulunmadığı, bu ... nedenlerle dava konusu travma ile mevcut işitme kaybı arasında illiyet bağı kurulduğunun belirtildiği"
"164","Anayasa","Bölüm","2019/21898","2024/","2024-02-08","S3h6MmRQL2YwdFI1V2c3RlI0eGw0RWt3TlZpRUlaS0c","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/S3h6MmRQL2YwdFI1V2c3RlI0eGw0RWt3TlZpRUlaS0c","geberteceğiz, travma, travmatik","Sizi ezeceğiz, geberteceğiz, leşinizi sereriz gibi tehdit sözleri duydum. ... darbedildiğini iddia ettiği olay sonrası herhangi bir sağlık kuruluşuna müracaat etmediğini, vücudunda bir travma ... hareketlerinin kısıtlı ve ağrılı olduğunu, ayrıca sağ göğsünde ağrı tarif ettiğini ancak kişide haricî travmatik ... Adli tıp raporunda haricî travmatik lezyon tespit edilmediği, sol omuz hareketlerinde kısıtlılığın"
"165","Yargıtay","Hukuk Dairesi","2023/2829","2024/733","2024-02-08","cGFwekJWNEU4NFZQK0NaR0dnbkdDTWNodFpNaDlZS20","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/cGFwekJWNEU4NFZQK0NaR0dnbkdDTWNodFpNaDlZS20","travmalar, hamile","şiddet uyguladığını, hakaret, tehdit ve aşağılamalarda bulunduklarını, yaşadığı bedensel ve ruhsal travmalar ... kabulü ile tarafların boşanmalarına karar vermek gerektiği, erkeğin kadına fiziksel şiddet uygulaması, hamile ... göstermediği ancak her ne kadar İlk Derece Mahkemesince erkeğe, kadına fiziksel şiddet uyguladığı, hamile"
"166","Yargıtay","Ceza Dairesi","2023/8512","2024/767","2024-02-07","QXo4ZzBYbXQvWHVDVnd4UGlkcXppRWVmN0F3ZFFFbUU","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/QXo4ZzBYbXQvWHVDVnd4UGlkcXppRWVmN0F3ZFFFbUU","hamile, travmasına, hamileliğini","nin istismar sonucu hamile kaldığı, bu ilişkinin birden fazla kez yaşandığı, ...' ... bıraktıkları, bebeğin bir kaç saat sonra hastane görevlilerince bulunduğu, tedavi altına alındığı ancak kafa travmasına ... nin maruz kaldığı cinsel istismar suçu nedeniyle hamile kaldığı, ...' ... nin hamileliğini gizlediği, ancak olay günü ...' ... vermeden oradan annesi sanık ... ve babası ... ... ile ayrıldığı, tuvalette terk edilen bebeğin kafa travmasına"
"167","Yargıtay","Ceza Dairesi","2022/4300","2024/1534","2024-02-07","aXlhaWMrdjBaVjJ6dHRteHRoTkIwUmNvNGt0elNPeU0","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/aXlhaWMrdjBaVjJ6dHRteHRoTkIwUmNvNGt0elNPeU0","boğazımın, travma, boğazımı, boğazına","göğüs ve diz kısmıma oturup darp ettiler, ben bu sırada kendimden geçmişim, akabinde kendime geldiğimde boğazımın ... olmadığını aracımın anahtarının olmadığını ve gözlüğümün de olmadığını farkettim,..ben çok ciddi bir travma ... mücadele etmeye çalıştı, daha sonra yolumuzu bulmak amacıyla bir istasyona sığındık burada da benim boğazımı ... polis gelmeden hakaret ettiği için olay yerinden ayrılıp gittim, bana sen beni kaçırıyormusun deyip boğazımı ... yapmamak ve şahıstan kurtulmak için aracı du"
"168","Yargıtay","Ceza Dairesi","2023/13662","2024/882","2024-02-06","clR5QUhyRklZWDFuSTFLeU93UEJBNHBiQUovTW9rZG4","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/clR5QUhyRklZWDFuSTFLeU93UEJBNHBiQUovTW9rZG4","hamileliğinin, travma, hamile","dilekçe ve mektuplarında olayın kendi eylemi sebebiyle olduğunu beyan ettiğine, mağdurenin yaşadığı hamileliğinin ... mağdurede panik ve travma yarattığına, intikam almak için başkalarının yönlendirmesi ile asılsız şikayette ... işlenmesi sırasında kastın yoğunluğu, olayın mağdurede yarattığı etki, mağdurenin saldırı sonucunda hamile"
"169","Yargıtay","Ceza Genel Kurulu","2019/197","2024/33","2024-01-24","NGtLakk3c2RLYXpIREptSUhiMnBGaXBlSTFHNWtVbUM","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/NGtLakk3c2RLYXpIREptSUhiMnBGaXBlSTFHNWtVbUM","travmasına, travmatik, boğazını, boğazına","ın dosya kapsamında bulunan Adli Tıp Kurumu raporunda belirtildiği üzere genel beden travmasına bağlı ... bilincinin kapalı olduğu, entübe edildiği, yapılan tetkiklerinde çok sayıda kafa kemik kırığı, yaygın travmatik ... Niğde Devlet Hastanesi'ndeki muayene bulguları, takip ve görüntüleme raporları ile otopside tanımlanan travmatik ... değişimlerin lokalizasyonu, ağırlığı ve nitelikleri birlikte değerlendirildiğinde, ölenin ölümüne neden olan travmatik ... gittiklerini, sanık, ölen ve tanık ..."
"170","Yargıtay","Hukuk Dairesi","2023/2354","2024/338","2024-01-23","T0RqRHhVcUNJR3pUeHplMDFIc0h5YjRidzJnMUtoVnA","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/T0RqRHhVcUNJR3pUeHplMDFIc0h5YjRidzJnMUtoVnA","hamile, hamilelikte, travma","Bakım Merkezine yerleştirildiğini, kısıtlının bakım merkezinde kalırken 25 haftalık hamile olduğunu belirleyen ... olması nedeniyle bebeğin sakat ya da anomali ya da erken doğum tehlikesi olduğunun bilinmesine rağmen hamilelikte ... eylem neticesinde endişe hali içerisinde olduğu, ruhsal ve bedeni bütünlüğünün ihlal edilmesi nedeniyle travma ... vücudunda meydana gelen değişikliklerden şüphelenerek sağlık kurumuna götürüp kontrol ettirdiğini, hamile"
"171","Yargıtay","Hukuk Dairesi","2023/2156","2024/214","2024-01-17","MmE4REkzT2tnK2tnVDhvU0NmT2taWHR4Umh2bTBqU0Q","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/MmE4REkzT2tnK2tnVDhvU0NmT2taWHR4Umh2bTBqU0Q","boğazının, boğaz, boğazından, travmasının","ameliyatın başarısızlığı nedeniyle nefes alamadığını, yoğun bakıma alındığını ve hiç uyuşturulmadan boğazının ... Göğüs Hastalıkları Hastanesine sevk edildiğini, bu hastanede de boğazının yanları delinerek tedavi edilmeye ... Davalı ...; kulak burun boğaz doktoru olduğunu, davacının yapılan muayenesi sonunda bademcik üzerinde ... hastalıkları uzmanı hem de kendisi tarafından ameliyatın aynı anda gerçekleştirilmesinin kararlaştırıldığını, boğazından ... anlaşıldığı belirtilerek, davacı hastada en"
"172","Yargıtay","Hukuk Dairesi","2023/2427","2024/221","2024-01-17","b3NkZmFjVmx5MU85NVA0UnVWVHoxaFI1eUtrTG5WcXg","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/b3NkZmFjVmx5MU85NVA0UnVWVHoxaFI1eUtrTG5WcXg","hamileliğinin, travmasına","nın hamileliğinin başından itibaren düzenli olarak davalı hastanede çalışan diğer davalı doktor Yeşim ... bebek sağlığına tam olarak kavuşmadan taburcu edilmesi nedeniyle bebeğin 02.03.2010 tarihinde doğum travmasına"
"173","Yargıtay","Ceza Dairesi","2023/1698","2024/276","2024-01-15","a2xMSHU5UDIwS0dmdTV3WEhiNi9nWmtNUE5IWVZaajE","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/a2xMSHU5UDIwS0dmdTV3WEhiNi9nWmtNUE5IWVZaajE","boğazına, boğazını, travma","katılanın üzerine atlayan sanığın bir eliyle katılanın ağzını kapattığı, diğer elindeki bıçağı da katılanın boğazına ... dayayarak \""Sakın kafanı kaldırma, yoksa boğazını keserim.\"" diyerek tehdit ettiği, daha sonra sanığın ... vermeyerek direndiği, bunun üzerine sanığın elindeki bıçağı yatağın ucuna fırlatarak iki eliyle katılanın boğazına ... 29.05.2012 tarihinde mağduru bulunduğu olaydan kaynaklanmış ruh sağlığını bozacak mahiyet ve derecede olan (Travma"
"174","Yargıtay","Ceza Dairesi","2023/13268","2024/108","2024-01-10","cGwwVzdxTjMzMkVHV1FXMU8rcE5WeDhMTTZ3MkV2SjM","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/cGwwVzdxTjMzMkVHV1FXMU8rcE5WeDhMTTZ3MkV2SjM","boğazını, travmatik, boğazımı","sokakta oynamakta iken bisikletine bindirip herhangi bir kimsenin bulunmadığı bir binaya götürdüğü, boğazını ... 2)Görüşme sırasında kaygı nedeniyle kendini ifade etmekte zaman zaman güçlük çektiği ve bu durumun travmatik ... Beni yakaladı uzaktaki bir binaya götürdü, sonra boğazımı sıktı. Bana tecavüz etti. ... tüm dosya kapsamı birlikte değerlendirildiğinde cezai ehliyeti tam olan sanığın 6 yaşındaki mağdurun boğazını"
"175","Yargıtay","Ceza Dairesi","2023/4773","2023/8539","2023-12-27","ZDc3VElxSkovVjFqRnZHME9MRUJHMzhkOElRbUhUbmQ","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/ZDc3VElxSkovVjFqRnZHME9MRUJHMzhkOElRbUhUbmQ","boğazına, travmatik","ın Mehmet'in boğazına sarılarak ''orospu çocukları bizi niye içeriye almıyorsunuz'' şeklinde hakaret ... '' demek suretiyle birden fazla kişiye karşı tek bir eylemle hakaret ettiği, polis memuru Mehmet'in boğazına ... Kişide kafatası kemiklerinde kırık, kafa içi travmatik değişim, herhangi bir merkezi sinir sistemi patolojisi"
"176","Yargıtay","Ceza Dairesi","2023/10460","2023/8866","2023-12-26","RWZLanRWOEJrTUxGR0owdDU5UFZqYVMxeXJ4bTgvUTE","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/RWZLanRWOEJrTUxGR0owdDU5UFZqYVMxeXJ4bTgvUTE","travma, hamile","Sanık hakkında alt sınırdan ceza verilmemesi gerektiğine, katılan mağdurenin yaşadığı psikolojik travma ... eden süreçte de aralıklarla sürdüğü son olarak katılan mağdurenin 2021 yılı mayıs-haziran aylarında hamile ... Hastanesinin genel adlî muayene raporuna göre, 12.10.2021 tarihinde katılan mağdurenin 19 hafta 1 günlük hamile ... içerisinde katılan mağdureyle vajinal yoldan cinsel ilişki gerçekleştirdiği bu nedenle katılan mağdurenin hamile"
"177","Yargıtay","Ceza Dairesi","2022/7781","2023/8285","2023-12-21","THBHd2lTRjBNV25QcmdOZU8rZEM5dGpXNjIrNHhhNUM","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/THBHd2lTRjBNV25QcmdOZU8rZEM5dGpXNjIrNHhhNUM","boğazına, travma, travmatik","maktulün bagajın içine düştüğü, sanığın maktulün üzerine yüklenerek maktulün elinden kılıcı alıp maktulün boğazına ... kesilmiş olduğu, üst ön alveollerde (üst ön 3 adet kesici diş ile uyumlu alanda) kırık olduğu (künt travma ... - Kişinin ölümünün kesici ezici alet yaralanmasına bağlı kafa kemik kırığı ile birlikte kafa içi travmatik"
"178","Yargıtay","Hukuk Dairesi","2023/2160","2023/3834","2023-12-20","b3lsMHBPd2dTdWRTaW9YdWFya0pReUk2RS85SFUreEo","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/b3lsMHBPd2dTdWRTaW9YdWFya0pReUk2RS85SFUreEo","hamileyken, travmalar, boğazı","un hamileyken davalı şirkete ait ... Hastanesinde Op.Dr ...' ... doğum süresinin çok uzun olması üzerine davalı doktorun, kordonun dolanması nedeniyle bebeğin kritik travmalar ... yapılmasında ısrarcı bebeğin boynuna kordonun dolandığını, bunun üzerine vakum uygulanarak kordonun boğazı"
"179","Yargıtay","Ceza Dairesi","2023/11407","2023/8711","2023-12-20","SDZveHdmdzRISmtua0VCaXNTRGFUbGRxTEp2Wnd2cDI","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/SDZveHdmdzRISmtua0VCaXNTRGFUbGRxTEp2Wnd2cDI","hamile, travma","eylemlerde bulunduğu ve raporlarda da belirtilen şekilde vurduğu ve sanığın da kendi beyanlarında mağdurenin hamile ... Meriç Toplum Sağlığı Merkezi'nin raporundaki durumuna göre mağdurenin birden fazla yerinde şiddetli travma"
"180","Yargıtay","Ceza Dairesi","2023/9513","2023/8719","2023-12-20","NWRBRThkQVBqdUxucVRkdzExL2hWMXkwMmZoSkFwNlE","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/NWRBRThkQVBqdUxucVRkdzExL2hWMXkwMmZoSkFwNlE","boğazına, travmatik",".'den aracın bagajındaki sallama diye tabir olunan bıçağı istediği, arabaya yaslayıp boğazına bıçak ... yönünden Sivas Cumhuriyet Hastanesi tarafından tanzim edilen adli rapor formunda; 'dış muayenesinde travmatik ... rastlanmadığı ancak iddia edilen olay tarihleri ile muayene tarihi arasındaki geçen süre dikkate alındığında travmatik"
"181","Yargıtay","Ceza Genel Kurulu","2020/35","2023/664","2023-12-13","ZDRJU2FVV2FUY1ptMU9OYUp2eTlNSXh2ZnVERUh2R3Q","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/ZDRJU2FVV2FUY1ptMU9OYUp2eTlNSXh2ZnVERUh2R3Q","travmatik, boğaz, hamilelik","tarihinde \""Otitis media, tanımlanmamış\"" ve \""Akut sinüzit, taımlanmamış\""; 20.04.2015 tarihinde ise \""Travmatik ... in oğlu ile birlikte kulak burun boğaz polikliniğine gelmesi üzerine hemşireden hastayı kayıt etmesini ... ve tedavileri söyleyip ameliyat günü olması sebebiyle diğer hastalarının kontrolü için kulak burun boğaz ... ın yardımı ile çıkartıp patoloji kabına koyduktan sonra kliniğe geri döndüğünü, kulak, burun, boğaz, ... edilmeden muayene ve tedavi edilmelerinin söz konusu olmadığı"
"182","Yargıtay","Ceza Dairesi","2023/10585","2023/8418","2023-12-13","ZFhJaG9CSkUyT3MvWExYK0pmdG9SYjJ1dFhRNnVHckY","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/ZFhJaG9CSkUyT3MvWExYK0pmdG9SYjJ1dFhRNnVHckY","travma, hamile","Mağdure üzerinde oluşan travma ... mağdure ... ...'nın sanık ...'un eşinin yeğeni olduğu, olay tarihinde sanığın eşi ... ...'un hamile"
"183","Yargıtay","Ceza Dairesi","2023/11253","2023/8243","2023-12-11","V2xqVmd5UmVETFNSeUVFNFhIVjlyVkpTM0Ruam1qSUs","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/V2xqVmd5UmVETFNSeUVFNFhIVjlyVkpTM0Ruam1qSUs","hamile, travmanın, hamilelik","un tespit edilebildiği kadarıyla hamile kaldığı andan doğum sonrası eve izinli olarak döndüğü sürece ... un mağdura yönelik cinsel istismarda bulunduğu, her ne kadar mağdur yaşadığı travmanın etkisiyle organ ... kapsamında mağdurenin babası olması nedeniyle cezasında yarı oranında arttırım yapılmasına, Sanığın hamilelik"
"184","Yargıtay","Hukuk Dairesi","2022/5566","2023/12812","2023-11-29","QTlQODAyUHZaZ0pHeFRKd3F5dXNuQ2tjcVN0Vy9NYnU","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/QTlQODAyUHZaZ0pHeFRKd3F5dXNuQ2tjcVN0Vy9NYnU","gebe, travmatoloji","Raporda kaza tarihinde davacının gebe olması nedeniyle grafilerinin çekilemediği, davacıdaki sekelin ... nedeniyle uğradığı çalışma gücü kaybı bulunup bulunmadığı ve varsa oranı konusunda içerisinde ortopedi ve travmatoloji"
